epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,33.3937,0.95748,0.56208,1.04687,0.90903,0.93778,0.93103,0.64747,1.10335,0.61371,1.13049,0.000681886,0.000681886,0.000681886
42,34.1748,0.93849,0.55073,1.04883,0.93094,0.93348,0.93232,0.69893,0.92309,0.55922,1.05892,0.000681601,0.000681601,0.000681601
43,34.9527,0.93459,0.54184,1.05383,0.93353,0.93374,0.94152,0.70455,0.92806,0.56569,1.06402,0.00068049,0.00068049,0.00068049
44,35.7476,0.91952,0.51777,1.01894,0.94314,0.94982,0.95528,0.71134,0.92615,0.53346,1.065,0.000678554,0.000678554,0.000678554
45,36.5446,0.94453,0.55634,1.06136,0.94475,0.94039,0.95619,0.71748,0.93885,0.52678,1.06154,0.000675793,0.000675793,0.000675793
46,37.3427,0.9325,0.54238,1.04525,0.93352,0.93419,0.95194,0.73087,0.85831,0.52099,1.03519,0.000672207,0.000672207,0.000672207
47,38.1492,0.90761,0.52578,1.02383,0.93038,0.94671,0.94768,0.72342,0.87946,0.5296,1.05076,0.000667796,0.000667796,0.000667796
48,38.9446,0.93502,0.5464,1.04613,0.93998,0.9396,0.94446,0.72269,0.8627,0.52827,1.02933,0.00066256,0.00066256,0.00066256
49,39.7273,0.91961,0.53505,1.04241,0.93552,0.94185,0.94261,0.71307,0.89077,0.52995,1.03585,0.000656498,0.000656498,0.000656498
50,40.5025,0.91155,0.5181,1.02687,0.93684,0.94916,0.94547,0.73532,0.84891,0.51973,1.02887,0.000649611,0.000649611,0.000649611
51,41.2827,0.93877,0.53409,1.05097,0.93217,0.94692,0.93944,0.73071,0.8405,0.51469,1.01886,0.000635544,0.000635544,0.000635544
52,42.054,0.92617,0.52818,1.04686,0.94349,0.93157,0.94064,0.69699,0.92579,0.53082,1.04572,0.000614915,0.000614915,0.000614915
53,42.8239,0.92538,0.52533,1.0304,0.93927,0.94159,0.93428,0.70751,0.91517,0.52173,1.0497,0.000594286,0.000594286,0.000594286
54,43.5932,0.89334,0.52149,1.02044,0.93915,0.94152,0.93101,0.72203,0.85652,0.51217,1.03539,0.000573656,0.000573656,0.000573656
55,44.3627,0.91963,0.53062,1.04299,0.94399,0.94469,0.93224,0.72999,0.83617,0.50788,1.02045,0.000553027,0.000553027,0.000553027
56,45.1312,0.89351,0.53649,1.03625,0.94523,0.94287,0.94099,0.73723,0.87887,0.51628,1.02771,0.000532398,0.000532398,0.000532398
57,45.922,0.88926,0.51375,1.02314,0.94627,0.94412,0.95141,0.74715,0.84804,0.5126,1.01553,0.000511769,0.000511769,0.000511769
58,46.7074,0.89895,0.52452,1.02673,0.93151,0.95141,0.95659,0.76881,0.79824,0.49513,1.00055,0.00049114,0.00049114,0.00049114
59,47.4922,0.87757,0.52459,1.02222,0.94677,0.94393,0.95396,0.75748,0.8291,0.48408,1.01781,0.000470511,0.000470511,0.000470511
60,48.2624,0.85433,0.50019,1.0098,0.9463,0.95256,0.94841,0.74708,0.83269,0.48126,1.01582,0.000449882,0.000449882,0.000449882
61,49.0291,0.87028,0.52116,1.02076,0.94161,0.94616,0.94895,0.73679,0.85589,0.48658,1.01834,0.000429253,0.000429253,0.000429253
62,49.8126,0.85486,0.48401,0.99485,0.94007,0.94701,0.94723,0.74603,0.8333,0.47863,1.00824,0.000408623,0.000408623,0.000408623
63,50.5987,0.86773,0.50467,1.01623,0.93947,0.95316,0.94616,0.75861,0.78992,0.47198,0.99474,0.000387994,0.000387994,0.000387994
64,51.3921,0.87545,0.50911,1.01682,0.93689,0.95351,0.95483,0.76759,0.76888,0.47404,0.98519,0.000367365,0.000367365,0.000367365
65,52.1567,0.87901,0.50887,1.01511,0.94081,0.95455,0.95861,0.77589,0.77171,0.47069,0.99388,0.000346736,0.000346736,0.000346736
66,52.9345,0.88459,0.512,1.03273,0.94292,0.95068,0.95855,0.77022,0.7726,0.46452,0.99268,0.000326107,0.000326107,0.000326107
67,53.7051,0.85724,0.49239,1.00463,0.95134,0.94631,0.95819,0.77006,0.7859,0.46371,0.99804,0.000305478,0.000305478,0.000305478
68,54.4622,0.84847,0.49382,1.01137,0.9483,0.94738,0.95483,0.774,0.75896,0.45763,0.98865,0.000284849,0.000284849,0.000284849
69,55.235,0.85567,0.48145,1.00395,0.9504,0.94958,0.9584,0.78362,0.73695,0.45534,0.97859,0.00026422,0.00026422,0.00026422
70,56.0362,0.83281,0.47976,0.99429,0.95004,0.94851,0.9556,0.7723,0.76129,0.46109,0.98489,0.00024359,0.00024359,0.00024359
71,57.3982,0.85026,0.47502,1.03091,0.94677,0.95148,0.95014,0.76252,0.7927,0.4703,0.99261,0.000222961,0.000222961,0.000222961
72,58.2563,0.80168,0.45638,1.00329,0.95063,0.95663,0.95228,0.73708,0.87229,0.49249,1.0199,0.000202332,0.000202332,0.000202332
73,59.0083,0.80798,0.44586,1.00149,0.95003,0.96195,0.95945,0.71905,0.92118,0.50044,1.03693,0.000181703,0.000181703,0.000181703
74,59.7682,0.77452,0.43049,0.98382,0.94878,0.95215,0.95848,0.73402,0.86926,0.4868,1.01901,0.000161074,0.000161074,0.000161074
75,60.5228,0.77397,0.4255,0.99404,0.94835,0.94804,0.96028,0.76127,0.79473,0.46815,0.99334,0.000140445,0.000140445,0.000140445
76,61.28,0.76789,0.42981,0.9827,0.9511,0.94706,0.96237,0.7796,0.76035,0.4601,0.98189,0.000119816,0.000119816,0.000119816
77,62.0594,0.75366,0.41922,0.97371,0.9479,0.94768,0.96086,0.77998,0.75945,0.45515,0.98232,9.91865e-05,9.91865e-05,9.91865e-05
78,62.8174,0.73766,0.41092,0.9737,0.94299,0.95738,0.95818,0.77834,0.75736,0.45006,0.98193,7.85574e-05,7.85574e-05,7.85574e-05
79,63.5801,0.73699,0.41445,0.97074,0.94452,0.95935,0.95592,0.77763,0.75702,0.44731,0.98205,5.79283e-05,5.79283e-05,5.79283e-05
