epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2410.32,0.5956,0.33745,0.82675,0.99735,0.99533,0.99464,0.94005,0.38636,0.25765,0.81742,0.005743,0.005743,0.005743
45,2464.75,0.58864,0.33283,0.82586,0.99731,0.99536,0.99464,0.94112,0.38478,0.25669,0.81722,0.005644,0.005644,0.005644
46,2519.15,0.58785,0.33254,0.82532,0.99729,0.99551,0.99464,0.94166,0.38331,0.25538,0.81708,0.005545,0.005545,0.005545
47,2573.69,0.58519,0.3343,0.82562,0.99716,0.99558,0.99465,0.94198,0.38235,0.25488,0.81694,0.005446,0.005446,0.005446
48,2628.17,0.57928,0.32889,0.82449,0.99734,0.99548,0.99465,0.94263,0.38103,0.2541,0.81692,0.005347,0.005347,0.005347
49,2682.63,0.57737,0.328,0.82445,0.99734,0.99558,0.99465,0.94321,0.37897,0.25311,0.81666,0.005248,0.005248,0.005248
50,2736.92,0.57378,0.32698,0.82395,0.99737,0.99559,0.99466,0.94397,0.37679,0.25214,0.81641,0.005149,0.005149,0.005149
51,2791.16,0.57059,0.32524,0.82387,0.99732,0.99561,0.99465,0.94437,0.37538,0.25145,0.81624,0.00505,0.00505,0.00505
52,2845.63,0.56786,0.32405,0.82392,0.99733,0.99563,0.99466,0.9446,0.37414,0.25089,0.81588,0.004951,0.004951,0.004951
53,2900.3,0.56424,0.3236,0.82297,0.99732,0.99566,0.99466,0.94515,0.37287,0.25012,0.81575,0.004852,0.004852,0.004852
54,2954.71,0.56219,0.32049,0.82272,0.99736,0.99566,0.99466,0.94566,0.37173,0.2495,0.81566,0.004753,0.004753,0.004753
55,3009.26,0.55898,0.32065,0.82248,0.99732,0.99568,0.99466,0.94595,0.37094,0.24911,0.81559,0.004654,0.004654,0.004654
56,3063.64,0.55566,0.31864,0.82152,0.99737,0.99569,0.99466,0.94642,0.36995,0.24856,0.81533,0.004555,0.004555,0.004555
57,3118.21,0.55616,0.31968,0.82224,0.99737,0.99568,0.99466,0.94685,0.36889,0.24798,0.81515,0.004456,0.004456,0.004456
58,3172.68,0.55241,0.31723,0.82172,0.99737,0.99567,0.99466,0.94711,0.36803,0.24749,0.81501,0.004357,0.004357,0.004357
59,3226.85,0.54794,0.31507,0.82102,0.99731,0.99581,0.99466,0.94742,0.36749,0.24713,0.81484,0.004258,0.004258,0.004258
60,3281.38,0.54761,0.3146,0.82096,0.99729,0.99583,0.99466,0.94768,0.36675,0.2466,0.8147,0.004159,0.004159,0.004159
