epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2429.29,0.66527,0.37832,0.83156,0.99716,0.99434,0.99461,0.91573,0.4638,0.30692,0.8304,0.005743,0.005743,0.005743
45,2483.96,0.65999,0.37542,0.8303,0.99728,0.99463,0.9946,0.91851,0.4549,0.30565,0.83073,0.005644,0.005644,0.005644
46,2538.67,0.65519,0.3738,0.82947,0.997,0.99475,0.99465,0.92131,0.45351,0.30303,0.82981,0.005545,0.005545,0.005545
47,2593.36,0.65331,0.37201,0.82983,0.9972,0.9949,0.99468,0.92129,0.44953,0.30105,0.8297,0.005446,0.005446,0.005446
48,2647.94,0.64228,0.36659,0.82859,0.99693,0.99499,0.99465,0.92378,0.43925,0.30059,0.82888,0.005347,0.005347,0.005347
49,2702.66,0.6433,0.36738,0.82848,0.99721,0.99474,0.99461,0.92492,0.44015,0.29725,0.82985,0.005248,0.005248,0.005248
50,2757.26,0.64226,0.36851,0.82836,0.99728,0.99514,0.99467,0.92412,0.44429,0.29955,0.82935,0.005149,0.005149,0.005149
51,2811.8,0.6333,0.36324,0.82765,0.99748,0.99501,0.99469,0.92826,0.42883,0.29438,0.82742,0.00505,0.00505,0.00505
52,2866.41,0.62892,0.36183,0.82671,0.99707,0.99532,0.99465,0.92515,0.4336,0.29449,0.8268,0.004951,0.004951,0.004951
53,2921.16,0.62655,0.36055,0.82649,0.99665,0.99535,0.99468,0.92953,0.42661,0.29249,0.82672,0.004852,0.004852,0.004852
54,2975.6,0.6266,0.36137,0.82626,0.99727,0.99512,0.99471,0.92834,0.43686,0.29431,0.83069,0.004753,0.004753,0.004753
55,3030.1,0.61743,0.35748,0.82608,0.99686,0.9955,0.9947,0.92956,0.42549,0.29017,0.82722,0.004654,0.004654,0.004654
56,3084.39,0.61618,0.35642,0.82548,0.99676,0.99549,0.99469,0.93078,0.4207,0.2882,0.82678,0.004555,0.004555,0.004555
57,3138.94,0.60814,0.35304,0.82525,0.99714,0.99522,0.9947,0.93243,0.41902,0.28758,0.8272,0.004456,0.004456,0.004456
58,3193.61,0.60821,0.35302,0.82499,0.99733,0.99542,0.9947,0.9341,0.41473,0.28592,0.82552,0.004357,0.004357,0.004357
59,3248.12,0.60583,0.35152,0.82481,0.99714,0.99558,0.9947,0.93417,0.41492,0.28486,0.8261,0.004258,0.004258,0.004258
60,3302.42,0.6007,0.34945,0.82454,0.99745,0.99556,0.99471,0.93472,0.40704,0.28272,0.82454,0.004159,0.004159,0.004159
61,3356.78,0.5986,0.34825,0.8237,0.99733,0.99548,0.99473,0.93738,0.40251,0.28231,0.82341,0.00406,0.00406,0.00406
62,3411.32,0.59153,0.34536,0.82343,0.99755,0.9953,0.99472,0.93669,0.40708,0.28281,0.82385,0.003961,0.003961,0.003961
63,3466.07,0.58866,0.34386,0.8222,0.99744,0.99565,0.99469,0.93754,0.40423,0.28313,0.82379,0.003862,0.003862,0.003862
64,3520.91,0.58819,0.34457,0.8229,0.99741,0.99577,0.9947,0.93849,0.40169,0.28078,0.82391,0.003763,0.003763,0.003763
65,3575.5,0.58746,0.34487,0.82236,0.99747,0.99574,0.9947,0.93868,0.39951,0.27974,0.8232,0.003664,0.003664,0.003664
66,3629.86,0.58296,0.34209,0.82199,0.99746,0.99591,0.99471,0.94035,0.39875,0.27811,0.82364,0.003565,0.003565,0.003565
67,3684.44,0.57529,0.33778,0.82113,0.99751,0.99594,0.99471,0.94124,0.39308,0.27793,0.82241,0.003466,0.003466,0.003466
68,3738.96,0.57325,0.33753,0.8203,0.9976,0.99593,0.99471,0.94193,0.39,0.27611,0.82167,0.003367,0.003367,0.003367
69,3793.3,0.57173,0.33648,0.82111,0.99754,0.99602,0.9947,0.94267,0.38799,0.2757,0.8216,0.003268,0.003268,0.003268
70,3848,0.5687,0.33533,0.82076,0.99762,0.99589,0.9947,0.94269,0.38786,0.27491,0.82165,0.003169,0.003169,0.003169
71,3902.56,0.56254,0.33395,0.81991,0.99757,0.99602,0.9947,0.9439,0.38744,0.27542,0.82216,0.00307,0.00307,0.00307
72,3956.8,0.55895,0.33337,0.81951,0.99743,0.99596,0.9947,0.94484,0.38402,0.27335,0.82115,0.002971,0.002971,0.002971
73,4011.16,0.55712,0.3312,0.8197,0.9976,0.9959,0.9947,0.94547,0.37974,0.27175,0.82008,0.002872,0.002872,0.002872
74,4065.59,0.55667,0.33128,0.81948,0.99766,0.9959,0.99471,0.9461,0.37848,0.27074,0.81964,0.002773,0.002773,0.002773
75,4120.21,0.55045,0.32852,0.8189,0.99765,0.99598,0.99471,0.94647,0.37652,0.27011,0.81933,0.002674,0.002674,0.002674
76,4174.84,0.54993,0.3287,0.81854,0.99763,0.99602,0.99471,0.94723,0.3769,0.26942,0.8196,0.002575,0.002575,0.002575
77,4229.57,0.54478,0.32569,0.81815,0.99767,0.99608,0.99471,0.948,0.37427,0.26871,0.81924,0.002476,0.002476,0.002476
78,4283.9,0.54001,0.32389,0.81725,0.99762,0.99617,0.9947,0.94847,0.37292,0.26812,0.81899,0.002377,0.002377,0.002377
79,4338.02,0.53656,0.32259,0.81755,0.99764,0.99616,0.99469,0.9493,0.37185,0.26779,0.81882,0.002278,0.002278,0.002278
80,4392.5,0.53592,0.3225,0.81725,0.99765,0.99614,0.9947,0.94973,0.37179,0.26745,0.81894,0.002179,0.002179,0.002179
81,4446.79,0.53251,0.32203,0.81725,0.99763,0.99616,0.9947,0.95033,0.37072,0.26711,0.81886,0.00208,0.00208,0.00208
82,4501.37,0.52934,0.31966,0.81617,0.99772,0.99612,0.99469,0.95079,0.36934,0.26617,0.81889,0.001981,0.001981,0.001981
83,4556.04,0.52654,0.31902,0.81603,0.99771,0.9961,0.9947,0.95133,0.36743,0.26561,0.81831,0.001882,0.001882,0.001882
84,4610.68,0.52151,0.31624,0.81555,0.9976,0.99618,0.9947,0.95219,0.36492,0.26461,0.81781,0.001783,0.001783,0.001783
85,4665.11,0.51839,0.31583,0.81613,0.99755,0.99626,0.9947,0.95248,0.36343,0.26411,0.81743,0.001684,0.001684,0.001684
86,4719.57,0.51578,0.31449,0.81556,0.99757,0.99623,0.99471,0.95276,0.36262,0.26326,0.81724,0.001585,0.001585,0.001585
87,4773.88,0.51368,0.31371,0.81487,0.99762,0.99621,0.99471,0.9532,0.36179,0.26296,0.817,0.001486,0.001486,0.001486
88,4828.36,0.5093,0.3119,0.8149,0.99765,0.99621,0.99471,0.95342,0.36154,0.26272,0.81716,0.001387,0.001387,0.001387
89,4882.86,0.50709,0.31128,0.81453,0.99763,0.99619,0.99471,0.95371,0.36102,0.26225,0.81713,0.001288,0.001288,0.001288
90,4937.58,0.50599,0.31085,0.81494,0.99764,0.99614,0.99471,0.95402,0.36029,0.26199,0.81708,0.001189,0.001189,0.001189
91,4984.74,0.41585,0.27453,0.80093,0.99768,0.99616,0.99471,0.95428,0.36039,0.26197,0.81725,0.00109,0.00109,0.00109
92,5030.55,0.40039,0.26665,0.79936,0.99777,0.99611,0.99471,0.95488,0.35879,0.26095,0.8172,0.000991,0.000991,0.000991
93,5076.28,0.39243,0.26342,0.7986,0.99782,0.99613,0.99471,0.95558,0.35717,0.25999,0.81712,0.000892,0.000892,0.000892
94,5122.02,0.38682,0.26146,0.79792,0.99787,0.99615,0.99471,0.95625,0.35552,0.25918,0.81697,0.000793,0.000793,0.000793
95,5167.82,0.37987,0.25815,0.79776,0.99786,0.99618,0.99471,0.95679,0.35377,0.25822,0.81686,0.000694,0.000694,0.000694
96,5213.59,0.37806,0.25699,0.7974,0.99785,0.99621,0.99471,0.95722,0.35264,0.25748,0.81681,0.000595,0.000595,0.000595
97,5259.37,0.3739,0.25494,0.7965,0.99786,0.99623,0.99472,0.95762,0.35153,0.25654,0.81667,0.000496,0.000496,0.000496
98,5305.1,0.37242,0.25441,0.79646,0.99783,0.99628,0.99472,0.95816,0.35057,0.25605,0.81664,0.000397,0.000397,0.000397
99,5350.8,0.36653,0.25269,0.79647,0.9978,0.99632,0.99472,0.95848,0.34974,0.25549,0.81661,0.000298,0.000298,0.000298
100,5396.49,0.3646,0.2514,0.79593,0.99781,0.99637,0.99472,0.95882,0.34903,0.255,0.81659,0.000199,0.000199,0.000199
